时段,应用,描述,时长,分类
06/14/2025 16:00:00,PotPlayerMini64,PotPlayer,55,未知
06/14/2025 16:00:00,SearchApp,Search application,8,未知
06/14/2025 17:00:00,SearchApp,Search application,19,未知
06/14/2025 17:00:00,SoundRec,SoundRec.exe,13,未知
06/14/2025 17:00:00,explorer,Windows 资源管理器,1554,未知
06/14/2025 17:00:00,obs64,OBS Studio,182,未知
06/14/2025 17:00:00,javaw,Java(TM) Platform SE binary,293,未知
06/14/2025 17:00:00,mpv,mpv,369,未知
06/14/2025 17:00:00,cmd,Windows 命令处理程序,715,未知
06/14/2025 17:00:00,PotPlayerMini64,PotPlayer,38,未知
06/14/2025 18:00:00,javaw,Java(TM) Platform SE binary,1443,未知
06/14/2025 18:00:00,mpv,mpv,706,未知
06/14/2025 18:00:00,explorer,Windows 资源管理器,743,未知
06/14/2025 18:00:00,cmd,Windows 命令处理程序,434,未知
06/14/2025 18:00:00,Listary,Listary,1,未知
06/14/2025 19:00:00,mpv,mpv,48,未知
06/14/2025 19:00:00,explorer,Windows 资源管理器,1372,未知
06/14/2025 19:00:00,cmd,Windows 命令处理程序,3,未知
06/14/2025 20:00:00,explorer,Windows 资源管理器,239,未知
06/14/2025 20:00:00,cmd,Windows 命令处理程序,7,未知
06/14/2025 20:00:00,Notepads,,2,未知
06/14/2025 20:00:00,Plain Craft Launcher 2,Plain Craft Launcher 启动器,3,未知
06/14/2025 20:00:00,javaw,Java(TM) Platform SE binary,6,未知
06/14/2025 20:00:00,WINWORD,Microsoft Word,2934,未知
06/14/2025 20:00:00,firefox,Firefox,4,未知
06/14/2025 20:00:00,Bandizip,Bandizip,1,未知
06/14/2025 20:00:00,msedge,Microsoft Edge,71,未知
06/14/2025 21:00:00,WINWORD,Microsoft Word,1611,未知
06/14/2025 21:00:00,explorer,Windows 资源管理器,474,未知
06/14/2025 21:00:00,msedge,Microsoft Edge,68,未知
06/14/2025 21:00:00,Bandizip,Bandizip,4,未知
06/14/2025 21:00:00,EXCEL,Microsoft Excel,1015,未知
06/14/2025 22:00:00,HipsTray,火绒安全软件托盘程序,27,未知
06/14/2025 22:00:00,EXCEL,Microsoft Excel,1013,未知
06/14/2025 22:00:00,explorer,Windows 资源管理器,65,未知
06/14/2025 23:00:00,EXCEL,Microsoft Excel,4,未知
06/14/2025 23:00:00,SearchApp,Search application,1,未知
06/15/2025 11:00:00,QQ,QQ,36,未知
06/15/2025 11:00:00,NVDisplay.Container,,91,未知
06/15/2025 11:00:00,explorer,Windows 资源管理器,14,未知
06/15/2025 11:00:00,firefox,Firefox,2471,未知
06/15/2025 11:00:00,IDMan,Internet Download Manager (IDM),88,未知
06/15/2025 11:00:00,msedge,Microsoft Edge,23,未知
06/15/2025 12:00:00,firefox,Firefox,1,未知
06/15/2025 12:00:00,QQ,QQ,548,未知
06/15/2025 12:00:00,PlantsVsZombies,Plants vs. Zombies,624,未知
06/15/2025 13:00:00,QQ,QQ,359,未知
06/15/2025 13:00:00,PlantsVsZombies,Plants vs. Zombies,2648,未知
06/15/2025 13:00:00,explorer,Windows 资源管理器,3,未知
06/15/2025 14:00:00,PlantsVsZombies,Plants vs. Zombies,1249,未知
06/15/2025 14:00:00,QQ,QQ,1,未知
06/15/2025 14:00:00,explorer,Windows 资源管理器,38,未知
06/15/2025 14:00:00,firefox,Firefox,1459,未知
06/15/2025 14:00:00,mpv,mpv,26,未知
06/15/2025 14:00:00,Honeyview,Honeyview,88,未知
06/15/2025 14:00:00,Notepads,,63,未知
06/15/2025 14:00:00,msedge,Microsoft Edge,8,未知
06/15/2025 14:00:00,WINWORD,Microsoft Word,43,未知
06/15/2025 14:00:00,acad,AutoCAD Application,7,未知
06/15/2025 14:00:00,图吧工具箱2024,图吧工具箱主程序,303,未知
06/15/2025 14:00:00,monitorinfo,显示器色域检测(图拉丁版),26,未知
06/15/2025 14:00:00,cpuz_x64,CPU-Z Application,16,未知
06/15/2025 15:00:00,firefox,Firefox,3569,未知
06/15/2025 15:00:00,explorer,Windows 资源管理器,10,未知
06/15/2025 16:00:00,firefox,Firefox,3026,未知
06/15/2025 16:00:00,explorer,Windows 资源管理器,18,未知
06/15/2025 16:00:00,msedge,Microsoft Edge,37,未知
06/15/2025 17:00:00,firefox,Firefox,601,未知
06/15/2025 17:00:00,explorer,Windows 资源管理器,1069,未知
06/15/2025 17:00:00,NVDisplay.Container,,4,未知
06/15/2025 17:00:00,mpv,mpv,48,未知
06/15/2025 18:00:00,explorer,Windows 资源管理器,489,未知
06/15/2025 18:00:00,HipsTray,火绒安全软件托盘程序,51,未知
06/15/2025 18:00:00,mpv,mpv,5,未知
06/15/2025 18:00:00,Notepads,,6,未知
06/15/2025 18:00:00,Ableton Live 12 Suite Installer,Ableton Live 12 Suite,7,未知
06/15/2025 18:00:00,NVDisplay.Container,,1,未知
06/15/2025 19:00:00,gameinputsvc,GameInput Host Service,2,未知
06/15/2025 19:00:00,explorer,Windows 资源管理器,590,未知
06/15/2025 19:00:00,Bandizip,Bandizip,48,未知
06/15/2025 19:00:00,NVDisplay.Container,,48,未知
06/15/2025 19:00:00,WINWORD,Microsoft Word,20,未知
06/15/2025 19:00:00,Set-up,Adobe Installer,24,未知
06/15/2025 19:00:00,Welcome,Welcome.exe - Nikon Application Installer,8,未知
06/15/2025 19:00:00,Ndtr3,InstFreeAct.exe - Nikon Free-Activate Application,9,未知
06/15/2025 19:00:00,DisplayRTF,Display RTF Application,4,未知
06/15/2025 19:00:00,_is27EC,Setup Launcher NX Studio,69,未知
06/15/2025 19:00:00,HipsTray,火绒安全软件托盘程序,6,未知
06/15/2025 19:00:00,Notepads,,2,未知
06/15/2025 19:00:00,AdobeGenP-3.4.13.4,Adobe GenP v3.4.13.4,64,未知
06/15/2025 19:00:00,SearchApp,Search application,1,未知
06/15/2025 19:00:00,NXStudio,NX Studio,5,未知
06/15/2025 19:00:00,Lightroom,Adobe Lightroom Classic,815,未知
06/15/2025 20:00:00,Lightroom,Adobe Lightroom Classic,946,未知
06/15/2025 20:00:00,explorer,Windows 资源管理器,12,未知
06/15/2025 20:00:00,HipsTray,火绒安全软件托盘程序,1,未知
06/15/2025 20:00:00,ToDesk,ToDesk远程控制客户端,4,未知
06/15/2025 20:00:00,AdobeCameraRaw_x64_14_5.tmp,Setup/Uninstall,62,未知
06/22/2025 11:00:00,AdobeCameraRaw_x64_14_5.tmp,Setup/Uninstall,6,未知
06/22/2025 12:00:00,AdobeCameraRaw_x64_14_5.tmp,Setup/Uninstall,194,未知
06/22/2025 12:00:00,explorer,Windows 资源管理器,351,未知
06/22/2025 12:00:00,NXStudio,NX Studio,205,未知
06/22/2025 12:00:00,SearchApp,Search application,3,未知
06/22/2025 12:00:00,Lightroom,Adobe Lightroom Classic,126,未知
06/22/2025 12:00:00,QQ,QQ,3,未知
06/22/2025 12:00:00,NktTransfer2,Nikon Transfer 2,5,未知
06/22/2025 13:00:00,explorer,Windows 资源管理器,44,未知
06/22/2025 13:00:00,AdobeCameraRaw_x64_17_4.tmp,Setup/Uninstall,100,未知
06/22/2025 13:00:00,SearchApp,Search application,4,未知
06/22/2025 13:00:00,Lightroom,Adobe Lightroom Classic,1949,未知
06/22/2025 13:00:00,Honeyview,Honeyview,1,未知
06/22/2025 14:00:00,Lightroom,Adobe Lightroom Classic,2854,未知
06/22/2025 14:00:00,explorer,Windows 资源管理器,500,未知
06/22/2025 14:00:00,Honeyview,Honeyview,36,未知
06/22/2025 14:00:00,NVDisplay.Container,,1,未知
06/22/2025 14:00:00,PowerToys,PowerToys.Runner,27,未知
06/22/2025 14:00:00,SearchApp,Search application,1,未知
06/22/2025 15:00:00,Lightroom,Adobe Lightroom Classic,1354,未知
06/22/2025 15:00:00,Listary,Listary,2,未知
06/22/2025 15:00:00,SearchApp,Search application,2,未知
06/22/2025 15:00:00,explorer,Windows 资源管理器,933,未知
06/22/2025 15:00:00,Honeyview,Honeyview,88,未知
06/22/2025 16:00:00,Lightroom,Adobe Lightroom Classic,415,未知
06/22/2025 16:00:00,explorer,Windows 资源管理器,612,未知
06/22/2025 16:00:00,HipsTray,火绒安全软件托盘程序,4,未知
06/22/2025 16:00:00,Honeyview,Honeyview,27,未知
06/22/2025 16:00:00,SearchApp,Search application,5,未知
06/22/2025 16:00:00,NVDisplay.Container,,2,未知
06/22/2025 17:00:00,Lightroom,Adobe Lightroom Classic,1079,未知
06/23/2025 00:00:00,Lightroom,Adobe Lightroom Classic,16,未知
06/23/2025 00:00:00,explorer,Windows 资源管理器,21,未知
06/23/2025 00:00:00,QQ,QQ,2,未知
06/23/2025 00:00:00,NVDisplay.Container,,1,未知
06/23/2025 00:00:00,HipsTray,火绒安全软件托盘程序,2,未知
07/05/2025 18:00:00,explorer,Windows 资源管理器,9,未知
07/05/2025 18:00:00,QQ,QQ,106,未知
07/05/2025 18:00:00,Plain Craft Launcher 2,Plain Craft Launcher 启动器,235,未知
07/05/2025 18:00:00,msedge,Microsoft Edge,251,未知
07/05/2025 18:00:00,CredentialUIBroker,Credential Manager UI Host,3,未知
07/05/2025 18:00:00,Listary,Listary,11,未知
07/05/2025 18:00:00,Clash for Windows,Clash for Windows,348,未知
07/05/2025 18:00:00,javaw,Java(TM) Platform SE binary,1769,未知
07/05/2025 18:00:00,firefox,Firefox,411,未知
07/05/2025 18:00:00,QQEX,QQEX,10,未知
07/05/2025 20:00:00,QQ,QQ,1,未知
07/05/2025 20:00:00,javaw,Java(TM) Platform SE binary,2,未知
07/18/2025 10:00:00,QQ,QQ,154,未知
07/18/2025 10:00:00,Plain Craft Launcher 2,Plain Craft Launcher 启动器,425,未知
07/18/2025 10:00:00,SearchApp,Search application,8,未知
07/18/2025 10:00:00,Listary,Listary,4,未知
07/18/2025 10:00:00,Clash for Windows,Clash for Windows,67,未知
07/18/2025 10:00:00,firefox,Firefox,1542,未知
07/18/2025 10:00:00,HRUpdate,火绒安全软件升级程序,3,未知
07/18/2025 10:00:00,explorer,Windows 资源管理器,64,未知
07/18/2025 10:00:00,msedge,Microsoft Edge,251,未知
07/18/2025 11:00:00,explorer,Windows 资源管理器,178,未知
07/18/2025 11:00:00,QQ,QQ,30,未知
07/18/2025 11:00:00,Plain Craft Launcher 2,Plain Craft Launcher 启动器,1,未知
07/18/2025 11:00:00,Clash for Windows,Clash for Windows,1,未知
07/18/2025 15:00:00,QQ,QQ,498,未知
07/18/2025 15:00:00,explorer,Windows 资源管理器,14,未知
07/18/2025 15:00:00,EXCEL,Microsoft Excel,555,未知
07/18/2025 15:00:00,msedge,Microsoft Edge,391,未知
07/18/2025 16:00:00,EXCEL,Microsoft Excel,1897,未知
07/18/2025 16:00:00,QQ,QQ,221,未知
07/18/2025 16:00:00,explorer,Windows 资源管理器,48,未知
07/18/2025 16:00:00,msedge,Microsoft Edge,19,未知
07/18/2025 16:00:00,firefox,Firefox,266,未知
07/18/2025 16:00:00,HipsTray,火绒安全软件托盘程序,1,未知
07/18/2025 16:00:00,SearchApp,Search application,3,未知
07/18/2025 16:00:00,Listary,Listary,4,未知
07/18/2025 16:00:00,Clash for Windows,Clash for Windows,30,未知
07/18/2025 16:00:00,IDMan,Internet Download Manager (IDM),1168,未知
07/18/2025 17:00:00,firefox,Firefox,1027,未知
07/18/2025 18:00:00,firefox,Firefox,881,未知
07/18/2025 18:00:00,explorer,Windows 资源管理器,21,未知
07/18/2025 18:00:00,mpv,mpv,26,未知
07/18/2025 18:00:00,Clash for Windows,Clash for Windows,1,未知
07/18/2025 19:00:00,Plain Craft Launcher 2,Plain Craft Launcher 启动器,34,未知
07/18/2025 19:00:00,Clash for Windows,Clash for Windows,8,未知
07/18/2025 19:00:00,QQ,QQ,813,未知
07/18/2025 19:00:00,firefox,Firefox,74,未知
07/18/2025 19:00:00,explorer,Windows 资源管理器,24,未知
07/18/2025 19:00:00,javaw,Java(TM) Platform SE binary,1918,未知
07/18/2025 19:00:00,ToDesk,ToDesk远程控制客户端,7,未知
07/18/2025 19:00:00,Listary,Listary,10,未知
07/18/2025 19:00:00,SearchApp,Search application,4,未知
07/18/2025 19:00:00,natgo,NatGo 端口映射,97,未知
07/18/2025 19:00:00,IDMan,Internet Download Manager (IDM),3,未知
07/18/2025 19:00:00,Radmin_LAN_1.4.4642.1.tmp,Setup/Uninstall,6,未知
07/18/2025 19:00:00,RvRvpnGui,Radmin VPN,66,未知
07/18/2025 19:00:00,PING,TCP/IP Ping 命令,1,未知
07/18/2025 20:00:00,javaw,Java(TM) Platform SE binary,1594,未知
07/18/2025 20:00:00,Plain Craft Launcher 2,Plain Craft Launcher 启动器,69,未知
07/18/2025 20:00:00,natgo,NatGo 端口映射,9,未知
07/18/2025 21:00:00,QQ,QQ,97,未知
07/18/2025 21:00:00,javaw,Java(TM) Platform SE binary,2319,未知
07/18/2025 21:00:00,natgo,NatGo 端口映射,85,未知
07/18/2025 21:00:00,Honeyview,Honeyview,57,未知
07/18/2025 21:00:00,explorer,Windows 资源管理器,67,未知
07/18/2025 21:00:00,Plain Craft Launcher 2,Plain Craft Launcher 启动器,2,未知
07/18/2025 22:00:00,explorer,Windows 资源管理器,23,未知
07/18/2025 22:00:00,QQ,QQ,79,未知
07/18/2025 22:00:00,Honeyview,Honeyview,71,未知
07/18/2025 22:00:00,Clash for Windows,Clash for Windows,21,未知
07/18/2025 22:00:00,javaw,Java(TM) Platform SE binary,2412,未知
07/18/2025 22:00:00,Plain Craft Launcher 2,Plain Craft Launcher 启动器,19,未知
07/18/2025 22:00:00,firefox,Firefox,2,未知
07/18/2025 22:00:00,SearchApp,Search application,2,未知
07/18/2025 22:00:00,Listary,Listary,2,未知
07/18/2025 23:00:00,Clash for Windows,Clash for Windows,23,未知
07/18/2025 23:00:00,SearchApp,Search application,6,未知
07/18/2025 23:00:00,Listary,Listary,8,未知
07/18/2025 23:00:00,explorer,Windows 资源管理器,562,未知
07/18/2025 23:00:00,firefox,Firefox,831,未知
07/18/2025 23:00:00,Honeyview,Honeyview,166,未知
07/18/2025 23:00:00,QQ,QQ,206,未知
07/18/2025 23:00:00,natgo,NatGo 端口映射,1,未知
07/18/2025 23:00:00,HipsTray,火绒安全软件托盘程序,10,未知
07/18/2025 23:00:00,WebViewHost,Microsoft 365 Copilot App,1,未知
07/18/2025 23:00:00,Lightroom,Adobe Lightroom Classic,312,未知
07/18/2025 23:00:00,SystemSettings,设置,211,未知
07/18/2025 23:00:00,mpv,mpv,143,未知
07/18/2025 23:00:00,cmd,Windows 命令处理程序,611,未知
07/19/2025 00:00:00,cmd,Windows 命令处理程序,244,未知
07/19/2025 00:00:00,mpv,mpv,664,未知
07/19/2025 00:00:00,Lightroom,Adobe Lightroom Classic,6,未知
07/19/2025 00:00:00,SystemSettings,设置,57,未知
07/19/2025 00:00:00,explorer,Windows 资源管理器,82,未知
07/19/2025 00:00:00,firefox,Firefox,11,未知
07/19/2025 00:00:00,msdt,诊断疑难解答向导,17,未知
07/19/2025 01:00:00,explorer,Windows 资源管理器,214,未知
07/19/2025 01:00:00,QQ,QQ,3,未知
07/19/2025 01:00:00,Lightroom,Adobe Lightroom Classic,9,未知
07/19/2025 01:00:00,SearchApp,Search application,1,未知
07/19/2025 01:00:00,SystemSettings,设置,53,未知
07/19/2025 01:00:00,firefox,Firefox,1,未知
07/19/2025 01:00:00,Dism++x64,Dism++主程序,1,未知
07/19/2025 01:00:00,rundll32,Windows 主进程 (Rundll32),26,未知
07/19/2025 13:00:00,SystemSettings,设置,4,未知
07/19/2025 13:00:00,explorer,Windows 资源管理器,70,未知
07/19/2025 13:00:00,QQ,QQ,219,未知
07/19/2025 13:00:00,firefox,Firefox,736,未知
07/19/2025 13:00:00,cmd,Windows 命令处理程序,721,未知
07/19/2025 13:00:00,HRUpdate,火绒安全软件升级程序,5,未知
07/19/2025 13:00:00,gameinputsvc,GameInput Host Service,1,未知
07/19/2025 13:00:00,steam,Steam,13,未知
07/19/2025 14:00:00,steam,Steam,12,未知
07/19/2025 14:00:00,explorer,Windows 资源管理器,34,未知
07/19/2025 14:00:00,QQ,QQ,14,未知
07/19/2025 14:00:00,msedge,Microsoft Edge,35,未知
07/19/2025 14:00:00,steamwebhelper,Steam Client WebHelper,495,未知
07/19/2025 14:00:00,Listary,Listary,3,未知
07/19/2025 14:00:00,Clash for Windows,Clash for Windows,45,未知
07/19/2025 14:00:00,vcredist_x86,Microsoft Visual C++ 2010  x86 Redistributable Setup,4,未知
07/19/2025 14:00:00,vcredist_x64,Microsoft Visual C++ 2010  x64 Redistributable Setup,3,未知
07/19/2025 14:00:00,DYO,"                                                                ",1893,未知
07/19/2025 14:00:00,SearchApp,Search application,3,未知
07/19/2025 14:00:00,Bacon,,198,未知
07/19/2025 15:00:00,Bacon,,690,未知
07/19/2025 15:00:00,QQ,QQ,82,未知
07/19/2025 15:00:00,explorer,Windows 资源管理器,4,未知
07/19/2025 15:00:00,steamwebhelper,Steam Client WebHelper,228,未知
07/19/2025 15:00:00,Clash for Windows,Clash for Windows,10,未知
07/19/2025 15:00:00,BeaversBeDammed,,2496,未知
07/19/2025 15:00:00,SearchApp,Search application,3,未知
07/19/2025 15:00:00,PowerToys.Settings,PowerToys.Settings,5,未知
07/19/2025 15:00:00,PowerToys.ShortcutGuide,PowerToys ShortcutGuide,3,未知
07/19/2025 16:00:00,BeaversBeDammed,,2124,未知
07/19/2025 16:00:00,QQ,QQ,73,未知
07/19/2025 16:00:00,SearchApp,Search application,4,未知
07/19/2025 16:00:00,Clash for Windows,Clash for Windows,22,未知
07/19/2025 16:00:00,steamwebhelper,Steam Client WebHelper,568,未知
07/19/2025 16:00:00,explorer,Windows 资源管理器,674,未知
07/19/2025 17:00:00,explorer,Windows 资源管理器,276,未知
07/19/2025 17:00:00,QQ,QQ,121,未知
07/19/2025 17:00:00,steamwebhelper,Steam Client WebHelper,240,未知
07/19/2025 17:00:00,Listary,Listary,5,未知
07/19/2025 17:00:00,Clash for Windows,Clash for Windows,218,未知
07/19/2025 17:00:00,BeaversBeDammed,,449,未知
07/19/2025 17:00:00,SearchApp,Search application,1,未知
07/19/2025 17:00:00,Stumble Guys,,52,未知
07/19/2025 17:00:00,HRUpdate,火绒安全软件升级程序,97,未知
07/19/2025 17:00:00,SystemSettings,设置,15,未知
07/20/2025 21:00:00,explorer,Windows 资源管理器,1222,未知
07/20/2025 21:00:00,steamwebhelper,Steam Client WebHelper,425,未知
07/20/2025 21:00:00,Clash for Windows,Clash for Windows,31,未知
07/20/2025 21:00:00,Stumble Guys,,14,未知
07/20/2025 21:00:00,BeaversBeDammed,,56,未知
07/20/2025 21:00:00,图吧工具箱2024,图吧工具箱主程序,5,未知
07/20/2025 21:00:00,SpaceSniffer,Disk space analysis tool,345,未知
07/20/2025 21:00:00,HipsTray,火绒安全软件托盘程序,59,未知
07/20/2025 21:00:00,mpv,mpv,98,未知
07/20/2025 22:00:00,HipsTray,火绒安全软件托盘程序,3,未知
07/20/2025 22:00:00,explorer,Windows 资源管理器,1398,未知
07/20/2025 22:00:00,SpaceSniffer,Disk space analysis tool,4,未知
07/20/2025 22:00:00,steamwebhelper,Steam Client WebHelper,186,未知
07/20/2025 22:00:00,SearchApp,Search application,27,未知
07/20/2025 22:00:00,Clash for Windows,Clash for Windows,1,未知
07/20/2025 22:00:00,QQ,QQ,80,未知
07/20/2025 22:00:00,CalculatorApp,Calculator,24,未知
07/20/2025 22:00:00,图吧工具箱2024,图吧工具箱主程序,1,未知
07/20/2025 22:00:00,Plain Craft Launcher 2,Plain Craft Launcher 启动器,21,未知
07/20/2025 22:00:00,SystemSettings,设置,203,未知
07/20/2025 22:00:00,rundll32,Windows 主进程 (Rundll32),81,未知
07/20/2025 22:00:00,msdt,诊断疑难解答向导,87,未知
07/20/2025 22:00:00,gameinputsvc,GameInput Host Service,1,未知
07/20/2025 22:00:00,cmd,Windows 命令处理程序,93,未知
07/20/2025 22:00:00,Listary,Listary,4,未知
07/20/2025 22:00:00,mmc,Microsoft 管理控制台,50,未知
07/20/2025 22:00:00,steam,Steam,2,未知
07/20/2025 22:00:00,mpv,mpv,7,未知
07/20/2025 22:00:00,Notepads,,219,未知
07/20/2025 23:00:00,Notepads,,33,未知
07/20/2025 23:00:00,explorer,Windows 资源管理器,184,未知
07/20/2025 23:00:00,SystemSettings,设置,17,未知
07/20/2025 23:00:00,msdt,诊断疑难解答向导,22,未知
07/20/2025 23:00:00,firefox,Firefox,288,未知
07/20/2025 23:00:00,Listary,Listary,17,未知
07/20/2025 23:00:00,dgpdf,PDF阅读器,4,未知
07/20/2025 23:00:00,cmd,Windows 命令处理程序,13,未知
07/20/2025 23:00:00,QQ,QQ,28,未知
07/21/2025 16:00:00,firefox,Firefox,221,未知
07/21/2025 16:00:00,SearchApp,Search application,5,未知
07/21/2025 16:00:00,Listary,Listary,23,未知
07/21/2025 16:00:00,Clash for Windows,Clash for Windows,10,未知
07/21/2025 16:00:00,explorer,Windows 资源管理器,28,未知
07/21/2025 16:00:00,QQ,QQ,140,未知
07/21/2025 16:00:00,HipsTray,火绒安全软件托盘程序,15,未知
07/21/2025 16:00:00,Plain Craft Launcher 2,Plain Craft Launcher 启动器,12,未知
07/21/2025 16:00:00,steam,Steam,3,未知
07/21/2025 16:00:00,javaw,Java(TM) Platform SE binary,1452,未知
07/21/2025 16:00:00,steamwebhelper,Steam Client WebHelper,76,未知
07/21/2025 16:00:00,NatGo 端口映射 1.2.3,NatGo 端口映射,12,未知
07/21/2025 16:00:00,obs64,OBS Studio,161,未知
07/21/2025 16:00:00,RtkNGUI64,Realtek高清晰音频管理器,95,未知
07/21/2025 17:00:00,javaw,Java(TM) Platform SE binary,1935,未知
07/21/2025 17:00:00,firefox,Firefox,638,未知
07/21/2025 17:00:00,obs64,OBS Studio,204,未知
07/21/2025 17:00:00,explorer,Windows 资源管理器,224,未知
07/21/2025 17:00:00,Plain Craft Launcher 2,Plain Craft Launcher 启动器,136,未知
07/21/2025 17:00:00,mpv,mpv,16,未知
07/21/2025 17:00:00,Bandizip,Bandizip,22,未知
07/21/2025 17:00:00,Notepads,,68,未知
07/21/2025 17:00:00,NbtStudio,NbtStudio,102,未知
07/21/2025 18:00:00,NbtStudio,NbtStudio,8,未知
07/21/2025 18:00:00,explorer,Windows 资源管理器,314,未知
07/21/2025 18:00:00,Notepads,,30,未知
07/21/2025 18:00:00,firefox,Firefox,434,未知
07/21/2025 18:00:00,mcedit2-win64-2.0.0-beta14,7z SFX,19,未知
07/21/2025 18:00:00,mcedit2,,206,未知
07/21/2025 18:00:00,Plain Craft Launcher 2,Plain Craft Launcher 启动器,24,未知
07/21/2025 18:00:00,QQ,QQ,16,未知
07/21/2025 18:00:00,Bandizip,Bandizip,39,未知
07/21/2025 18:00:00,cclean,系统盘清理,4,未知
07/21/2025 18:00:00,Listary,Listary,20,未知
07/21/2025 18:00:00,SearchApp,Search application,1,未知
07/21/2025 18:00:00,cmd,Windows 命令处理程序,73,未知
07/21/2025 18:00:00,amulet_app,,1401,未知
07/21/2025 18:00:00,Clash for Windows,Clash for Windows,3,未知
07/21/2025 18:00:00,PowerToys.PowerLauncher,PowerToys.Run,1,未知
07/21/2025 18:00:00,FileShred,火绒文件粉碎和解锁占用,4,未知
07/21/2025 18:00:00,javaw,Java(TM) Platform SE binary,317,未知
07/21/2025 18:00:00,NatGo 端口映射 1.2.3,NatGo 端口映射,185,未知
07/21/2025 19:00:00,javaw,Java(TM) Platform SE binary,2574,未知
07/21/2025 19:00:00,Plain Craft Launcher 2,Plain Craft Launcher 启动器,74,未知
07/21/2025 19:00:00,explorer,Windows 资源管理器,214,未知
07/21/2025 19:00:00,cmd,Windows 命令处理程序,17,未知
07/21/2025 19:00:00,NbtStudio,NbtStudio,180,未知
07/21/2025 19:00:00,amulet_app,,1,未知
07/21/2025 19:00:00,firefox,Firefox,182,未知
07/21/2025 19:00:00,Notepads,,1,未知
07/21/2025 19:00:00,Bandizip,Bandizip,3,未知
07/21/2025 19:00:00,QQ,QQ,168,未知
07/21/2025 19:00:00,NatGo 端口映射 1.2.3,NatGo 端口映射,15,未知
07/21/2025 20:00:00,javaw,Java(TM) Platform SE binary,2305,未知
07/21/2025 20:00:00,QQ,QQ,214,未知
07/21/2025 20:00:00,Plain Craft Launcher 2,Plain Craft Launcher 启动器,142,未知
07/21/2025 20:00:00,firefox,Firefox,152,未知
07/21/2025 20:00:00,explorer,Windows 资源管理器,96,未知
07/21/2025 20:00:00,Clash for Windows,Clash for Windows,16,未知
07/21/2025 20:00:00,PopBlock,火绒安全软件弹窗拦截程序,1,未知
07/21/2025 20:00:00,cmd,Windows 命令处理程序,11,未知
07/21/2025 20:00:00,steamwebhelper,Steam Client WebHelper,1,未知
07/21/2025 20:00:00,ToDesk,ToDesk远程控制客户端,6,未知
07/21/2025 20:00:00,PowerToys.Awake,PowerToys.Awake,3,未知
07/21/2025 20:00:00,RtkNGUI64,Realtek高清晰音频管理器,1,未知
07/21/2025 20:00:00,gameinputsvc,GameInput Host Service,5,未知
07/21/2025 20:00:00,HipsTray,火绒安全软件托盘程序,2,未知
07/21/2025 20:00:00,nvcplui,"NVIDIA Control Panel Application, 8.1.940.0",2,未知
07/21/2025 20:00:00,NatGo 端口映射 1.2.3,NatGo 端口映射,15,未知
07/21/2025 20:00:00,Notepads,,56,未知
07/21/2025 20:00:00,Honeyview,Honeyview,4,未知
07/21/2025 21:00:00,javaw,Java(TM) Platform SE binary,3236,未知
07/21/2025 21:00:00,QQ,QQ,80,未知
07/21/2025 21:00:00,SearchApp,Search application,1,未知
07/21/2025 21:00:00,Plain Craft Launcher 2,Plain Craft Launcher 启动器,68,未知
07/21/2025 21:00:00,Notepads,,6,未知
07/21/2025 22:00:00,QQ,QQ,31,未知
07/21/2025 22:00:00,javaw,Java(TM) Platform SE binary,1691,未知
07/21/2025 22:00:00,explorer,Windows 资源管理器,45,未知
07/21/2025 22:00:00,Plain Craft Launcher 2,Plain Craft Launcher 启动器,2,未知
07/21/2025 22:00:00,Honeyview,Honeyview,124,未知
07/21/2025 22:00:00,Notepads,,1,未知
07/22/2025 14:00:00,gameinputsvc,GameInput Host Service,3,未知
07/22/2025 14:00:00,QQ,QQ,63,未知
07/22/2025 15:00:00,gameinputsvc,GameInput Host Service,5,未知
07/22/2025 15:00:00,QQ,QQ,122,未知
07/22/2025 15:00:00,explorer,Windows 资源管理器,249,未知
07/22/2025 15:00:00,SearchApp,Search application,6,未知
07/22/2025 15:00:00,图吧工具箱2024,图吧工具箱主程序,17,未知
07/22/2025 15:00:00,SpaceSniffer,Disk space analysis tool,86,未知
07/22/2025 15:00:00,firefox,Firefox,100,未知
07/22/2025 15:00:00,Listary,Listary,2,未知
07/22/2025 15:00:00,Clash for Windows,Clash for Windows,2,未知
07/22/2025 15:00:00,Plain Craft Launcher 2,Plain Craft Launcher 启动器,5,未知
07/22/2025 15:00:00,NatGo 端口映射 1.2.3,NatGo 端口映射,35,未知
07/22/2025 15:00:00,javaw,Java(TM) Platform SE binary,889,未知
07/22/2025 15:00:00,IDMan,Internet Download Manager (IDM),5,未知
07/22/2025 15:00:00,GameSir-Connect-Setup-1.5.6,GameSir Connect,21,未知
07/22/2025 15:00:00,GameSir Connect,GameSir Connect,81,未知
07/22/2025 15:00:00,Bandizip,Bandizip,4,未知
07/22/2025 15:00:00,GamePad-v1.2.3,Gamepad,12,未知
07/22/2025 15:00:00,HipsTray,火绒安全软件托盘程序,4,未知
07/22/2025 15:00:00,steamwebhelper,Steam Client WebHelper,162,未知
07/22/2025 15:00:00,BeaversBeDammed,,341,未知
07/22/2025 15:00:00,HRUpdate,火绒安全软件升级程序,4,未知
07/22/2025 16:00:00,javaw,Java(TM) Platform SE binary,3328,未知
